9523;Bradley;Beal;3;SG;"6'5"";207;1993-06-28;St. Louis, MO;USA;94;WAS;Washington;Wizards;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png
10133;Malik;Beasley;25;SG;"6'5"";196;1996-11-26;Atlanta, GA;USA;99;DEN;Denver;Nuggets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png
9245;Michael;Beasley;8;PF;"6'9"";235;1989-01-07;Frederick, MD;USA;102;LAC;Los Angeles;Clippers;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201563.png
9470;Marco;Belinelli;3;SG;"6'5"";210;1986-03-24;Bologna;Italy;106;SAS;San Antonio;Spurs;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201158.png
13764;Jordan;Bell;2;C;"6'9"";224;1995-01-06;Los Angeles, CA;USA;101;GSW;Golden State;Warriors;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628395.png
10156;DeAndre';Bembry;95;SF;"6'6"";210;1994-07-04;Charlotte, NC;USA;91;ATL;Atlanta;Hawks;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627761.png
10143;Dragan;Bender;35;PF;"7'1"";225;1997-11-17;Capljina;Bosnia and Herzegovina;104;PHX;Phoenix;Suns;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627733.png
9544;Anthony;Bennett;13;PF;6'8'';245;1993-03-14;Toronto;Canada;84;BRO;Brooklyn;Nets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203461.png
10109;Davis;Bertans;42;PF;"6'10"";210;1992-11-12;Valmiera;Latvia;106;SAS;San Antonio;Spurs;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png
9239;Patrick;Beverley;21;PG;"6'1"";185;1988-07-12;Chicago, IL;USA;102;LAC;Los Angeles;Clippers;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png
13804;Khem;Birch;24;PF;"6'9"";220;1992-09-28;Montreal;Canada;95;ORL;Orlando;Magic;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png
13771;Jabari;Bird;26;SG;"6'6"";198;1994-06-29;Walnut Creek, CA;USA;91;ATL;Atlanta;Hawks;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628444.png
9497;Bismack;Biyombo;11;C;"6'9"";255;1992-08-27;Lubumbashi;Democratic Republic of the Congo;93;CHA;Charlotte;Hornets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202687.png
9348;Nemanja;Bjelica;8;SF;"6'10"";230;1988-05-09;Belgrade;Serbia;103;SAC;Sacramento;Kings;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202357.png
9284;Tarik;Black;28;PF;"6'9"";250;1991-11-22;Memphis, TN;USA;109;HOU;Houston;Rockets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204028.png
13864;Antonio;Blakeney;9;PG;"6'4"";197;1996-10-04;Watertown, NY;USA;89;CHI;Chicago;Bulls;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628469.png
9428;Eric;Bledsoe;6;PG;"6'1"";205;1989-12-09;Birmingham, AL;USA;90;MIL;Milwaukee;Bucks;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png
15308;Trevon;Bluiett;5;SG;"6'5"";215;1994-11-04;Indianapolis, IN;USA;110;NOP;New Orleans;Pelicans;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629129.png
9114;Bojan;Bogdanovic;44;SF;"6'8"";230;1989-04-18;Mostar;Bosnia and Herzegovina;87;IND;Indiana;Pacers;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png
13726;Bogdan;Bogdanovic;8;SG;"6'6"";205;1992-08-18;Belgrade;Serbia;103;SAC;Sacramento;Kings;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png
9217;Andrew;Bogut;12;C;7'0'';260;1984-11-27;Melbourne;Australia;101;GSW;Golden State;Warriors;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101106.png
15263;Jonah;Bolden;43;PF;"6'10"";220;1996-01-01;Melbourne;Australia;85;PHI;Philadelphia;76ers;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628413.png
